id_number,name,name_english,slug,type,country_code,poster_path,total_episodes,latest_episode_sub,latest_episode_dub,airing_status,aired_from,runtime,rating_type,has_sub,has_dub,mal_score,genres,id
17951,Strike the Blood Final,Strike the Blood Final,strike-the-blood-final,OVA,jp,cd/98/cd98b38b080c485109c67a14ca93e13d/cd98b38b080c485109c67a14ca93e13d.jpg,4.0,4.0,0,1,"Mar 30, 2022",26.0,R+,1,0,,"Action,Ecchi,Fantasy,Vampire,Harem,Supernatural",edC93w
17953,Mushoku Tensei: Isekai Ittara Honki Dasu Special,Mushoku Tensei: Isekai Ittara Honki Dasu Special,mushoku-tensei-isekai-ittara-honki-dasu-special,Special,jp,22/4d/224d942822334deba9542b4260642559/224d942822334deba9542b4260642559.jpg,1.0,1.0,1,1,"Mar 16, 2022",23.0,R,1,1,,"Drama,Ecchi,Fantasy",UDEHUy
17955,Kobayashi-san Chi no Maidragon S: Nippon no Omotenashi - Attend wa Dragon Desu,Miss Kobayashi's Dragon Maid S: Japanese Hospitality - Attendance is a Dragon,miss-kobayashis-dragon-maid-s-japanese-hospitality-attendance-is-a-dragon,Special,jp,bf/34/bf34e5e1396f479323b8e887e68114e1/bf34e5e1396f479323b8e887e68114e1.jpg,1.0,1.0,1,1,"Jan 19, 2022",24.0,PG-13,1,1,7.87,"Comedy,Fantasy,Slice of Life",tqZ3EJ
17956,Mao Zhi Ming,Cat's Tea,cats-tea,ONA,cn,6f/bc/6fbc13a9f1d3ae0c8c366b742ee0d97a/6fbc13a9f1d3ae0c8c366b742ee0d97a.jpg,12.0,12.0,0,1,"Oct 26, 2021",9.0,G,1,0,,"Action,Comedy",xIsFTX
17949,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Tokubetsu-hen,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Tokubetsu-hen,lord-el-melloi-ii-sei-no-jikenbo-rail-zeppelin-grace-note-tokubetsu-hen,Special,jp,bf/56/bf568eff7a1fb1ba1254aa83d96caa54/bf568eff7a1fb1ba1254aa83d96caa54.jpg,1.0,1.0,0,1,"Dec 31, 2021",52.0,R,1,0,7.37,"Mystery,Fantasy,Supernatural",2V5MTn
17950,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,otome-game-no-hametsu-flag-shika-nai-akuyaku-reijou-ni-tensei-shiteshimatta-ova,OVA,jp,0e/8e/0e8ec31bb81d1179675d7e84b77dbb6c/0e8ec31bb81d1179675d7e84b77dbb6c.jpg,1.0,1.0,1,1,"Sep 30, 2021",28.0,PG-13,1,1,6.82,"Comedy,Drama,Fantasy,Romance",F2RUJy
17954,Eien no 831,Eien no 831,eien-no-831,Special,jp,42/67/42677b31ab740b6d438140cc653198dc/42677b31ab740b6d438140cc653198dc.jpg,1.0,1.0,1,1,"Jan 30, 2022",105.0,PG-13,1,1,5.55,Supernatural,41l99Z
17957,Foodie Boy’s Classic of Mountains & Seas,Foodie Boy’s Classic of Mountains & Seas,foodie-boys-classic-of-mountains-seas,TV,cn,f3/b3/f3b36904fb691f9f12c9b50cf1103c1a/f3b36904fb691f9f12c9b50cf1103c1a.jpeg,41.0,41.0,0,1,"Oct 19, 2021",5.0,G,1,0,,"Adventure,Comedy,Kids",OO5Q85
17961,Meng Qi Shi Shen 2nd Season,Meng Qi Shi Shen 2nd Season,meng-qi-shi-shen-2nd-season,ONA,cn,93/0a/930a2951cdca1f06b351ae75a79079c5/930a2951cdca1f06b351ae75a79079c5.jpg,12.0,12.0,0,1,"Oct 9, 2021",20.0,PG-13,1,0,7.2,"Adventure,Comedy,Drama,Romance",bzE1XK
17963,ORESUKI Are you the only one who loves me: Game Over,ORESUKI Are you the only one who loves me: Game Over,oresuki-are-you-the-only-one-who-loves-me-game-over,OVA,jp,0f/8b/0f8b745a574abe160c23919431b1c957/0f8b745a574abe160c23919431b1c957.jpg,1.0,1.0,0,1,,70.0,PG-13,1,0,,"Comedy,Romance,School",ZHqU3c
17965,"Pocket Monsters - The Hallowed God, Arceus","Pocket Monsters - The Hallowed God, Arceus",pocket-monsters-the-hallowed-god-arceus,Movie,jp,01/6e/016e23c8fb899a3ab52f175c6c79f96f/016e23c8fb899a3ab52f175c6c79f96f.jpg,4.0,4.0,0,1,"Jan 21, 2022",17.0,PG-13,1,0,,"Action,Adventure,Comedy,Fantasy,Game,Kids",HuKLGk
17966,Vanitas no Karte: En Route Pour le Gévaudan,The Case Study of Vanitas Episode 12.5 – Recap,the-case-study-of-vanitas-episode-125-recap,Special,jp,65/51/6551b41e1c99fef4377cd913f0fb4e1f/6551b41e1c99fef4377cd913f0fb4e1f.jpg,1.0,1.0,1,1,"Jan 8, 2022",23.0,R,1,1,6.66,"Historical,Vampire,Supernatural",46uTva
17958,Isuca (Uncensored),Isuca (Uncensored),isuca-uncensored,TV,jp,96/79/9679aae568c1d6ac60a934c42002f538/9679aae568c1d6ac60a934c42002f538.jpg,10.0,10.0,0,1,,23.0,R+,1,0,,"Action,Comedy,Ecchi,Romance,School,Supernatural,Seinen",1Qo3Dt
17959,Shuumatsu no Harem,World's End Harem,worlds-end-harem,TV,jp,34/b9/34b9a8ed656558d0d40f427f91a86325/34b9a8ed656558d0d40f427f91a86325.jpg,11.0,11.0,0,1,"Oct 8, 2021",23.0,PG-13,1,0,6.64,"Ecchi,Sci-Fi",qi5ozl
17960,Gensou Sangokushi: Tengen Reishinki,Gensou Sangokushi: Tengen Reishinki,gensou-sangokushi-tengen-reishinki,TV,jp,8f/fa/8ffa60b953d16efa3e81f3b54ea110a7/8ffa60b953d16efa3e81f3b54ea110a7.png,12.0,12.0,0,1,"Jan 11, 2022",24.0,PG-13,1,0,5.62,Fantasy,LqY8ET
17962,Tales of Luminaria: The Fateful Crossroad,Tales of Luminaria the Fateful Crossroad,tales-of-luminaria-the-fateful-crossroad,ONA,jp,7d/75/7d7570d7b91240a19b650aefb9835b7c/7d7570d7b91240a19b650aefb9835b7c.jpg,2.0,2.0,2,1,"Jan 21, 2022",27.0,PG-13,1,1,,Fantasy,zJwsVr
